Word,Count,achieve,adverb,affect,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,discrep,excl,funct,future,hear,i,incl,inhib,insight,ipron,money,motion,negate,negemo,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,sad,see,shehe,social,space,tentat,they,time,verb,we,work,you,
help,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
here,4,0,0,0,0,0,0,0,0,0,0.8733624454148472,0,0,0,0,0,0,0,12.903225806451612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hi,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
how,1,0,0,12.5,0,0,2.0,0,0,0,0.2183406113537118,0.6896551724137931,0,0,0,0,0,0,3.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
i,23,0,0,0,0,0,0,0,0,0,5.021834061135372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.436781609195403,20.0,0,0,0,0,0,0,63.888888888888886,0,0,0,0,0,0,0,0,0,0,
i'll,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0.6097560975609756,0,8.333333333333334,0,0,0,0,0,0,0,0,1.1494252873563218,0.8695652173913043,0,0,0,0,0,0,2.7777777777777777,0,0,0,0,1.5873015873015872,0,0,0,0,0,
id,2,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,0,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,2.2988505747126435,1.7391304347826086,0,0,0,0,0,0,5.555555555555555,0,0,0,0,3.1746031746031744,0,0,0,0,0,
if,3,0,0,0,15.0,0,6.0,0,0,0,0.6550218340611353,2.0689655172413794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,16.666666666666668,0,0,0,
in,4,0,0,0,0,0,0,0,0,0,0.8733624454148472,0,5.714285714285714,0,0,0,3.076923076923077,0,0,0,3.4782608695652173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
information,1,0,0,0,0,0,0,0,0,5.555555555555555,0,0.6896551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
is,4,0,0,0,0,0,0,0,0,0,0.8733624454148472,0,0,0,0,0,0,0,0,2.4390243902439024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333333333,0,0,0,6.349206349206349,0,0,0,0,0,
isn't,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,4.761904761904762,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,1.5873015873015872,0,0,0,0,0,
it,12,0,0,0,0,0,0,0,0,0,2.6200873362445414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.434782608695652,0,0,0,0,42.857142857142854,0,0,0,0,0,0,0,0,0,0,0,0,
just,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0.6896551724137931,0,0,0,0,0,0,3.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.555555555555555,0,0,0,
keep,1,0,0,0,0,0,0,0,0,0,0,0.6896551724137931,0,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,33.333333333333336,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,0,0,0,0,0,0,
know,2,0,0,0,0,0,0,0,0,11.11111111111111,0,1.3793103448275863,0,0,0,0,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,0,0,0,0,0,0,0,0,0,
last,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666666666667,0,0,0,0,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
later,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666666666667,0,0,0,0,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
learn,6,0,0,0,0,0,0,0,0,33.333333333333336,0,4.137931034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.428571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
